frame,video_frame,intersection_type,intersection_x,intersection_y,intersection_z,refined_intersection_x,refined_intersection_y,refined_intersection_z,gaze_2d_pixel_x,gaze_2d_pixel_y,object_type,object_class,yolo_confidence,head_position_x,head_position_y,head_position_z,head_quat_x,head_quat_y,head_quat_z,head_quat_w
0,1491,precomputed_fallback,-6791.639176708975,-672.2886990877569,3000.0,,,,,,ceiling,,,-5758.577637,-953.782471,1716.332397,0.203321,-0.183239,-0.76313,0.58542
1,1491,precomputed_fallback,-6793.167769536284,-673.3686879029672,3000.0,,,,,,ceiling,,,-5758.585938,-953.742798,1716.338379,0.203438,-0.183281,-0.763073,0.58544
2,1491,precomputed_fallback,-6793.823626387051,-672.7816306964105,3000.0,,,,,,ceiling,,,-5758.581543,-953.706848,1716.351685,0.203467,-0.183256,-0.763071,0.585441
3,1491,precomputed_fallback,-6794.702581143665,-672.3112150368938,3000.0,,,,,,ceiling,,,-5758.589844,-953.689026,1716.36377,0.203587,-0.183241,-0.763032,0.585454
4,1491,precomputed_fallback,-6794.821979791786,-671.7921893623463,3000.0,,,,,,ceiling,,,-5758.59668,-953.640259,1716.372437,0.203524,-0.183116,-0.763031,0.585516
5,1492,precomputed_fallback,-6795.1717355305245,-671.029832570003,3000.0,,,,,,ceiling,,,-5758.601074,-953.624146,1716.379517,0.20344,-0.183039,-0.763018,0.585588
6,1492,precomputed_fallback,-6795.587691235839,-670.3827105488451,3000.0,,,,,,ceiling,,,-5758.605957,-953.618835,1716.387817,0.203413,-0.182969,-0.762967,0.585685
7,1492,precomputed_fallback,-6792.430646606989,-670.3948606761908,3000.0,,,,,,ceiling,,,-5758.603027,-953.566406,1716.394653,0.203338,-0.182747,-0.762962,0.585787
8,1492,precomputed_fallback,-6794.070164750087,-670.5979529984074,3000.0,,,,,,ceiling,,,-5758.59082,-953.531738,1716.394653,0.203453,-0.182706,-0.762889,0.585855
9,1493,precomputed_fallback,-6793.945693304664,-671.1369173364028,3000.0,,,,,,ceiling,,,-5758.60498,-953.509521,1716.4198,0.20329,-0.182495,-0.762845,0.586035
10,1493,precomputed_fallback,-6794.098062499716,-672.1166802561659,3000.0,,,,,,ceiling,,,-5758.614258,-953.471069,1716.454346,0.203179,-0.182179,-0.762807,0.58622
11,1493,precomputed_fallback,-6795.14817349146,-673.0032597216957,3000.0,,,,,,ceiling,,,-5758.602051,-953.442627,1716.464966,0.203157,-0.182043,-0.762749,0.586346
12,1493,precomputed_fallback,-6796.197906724072,-673.5966308286819,3000.0,,,,,,ceiling,,,-5758.599121,-953.420837,1716.480347,0.203219,-0.18202,-0.762639,0.586475
13,1494,precomputed_fallback,-6795.815829032066,-674.252343934181,3000.0,,,,,,ceiling,,,-5758.591309,-953.393494,1716.504639,0.203212,-0.181771,-0.762603,0.586601
14,1494,precomputed_fallback,-6796.384918431179,-674.4785134436115,3000.0,,,,,,ceiling,,,-5758.578613,-953.381409,1716.510986,0.203342,-0.181716,-0.762501,0.586706
15,1494,precomputed_fallback,-6796.530028079232,-674.7574922605193,3000.0,,,,,,ceiling,,,-5758.585449,-953.363037,1716.520386,0.203391,-0.181554,-0.762409,0.586858
16,1494,precomputed_fallback,-6796.345414793545,-674.9727961229955,3000.0,,,,,,ceiling,,,-5758.579102,-953.351318,1716.520142,0.203328,-0.181354,-0.762349,0.58702
17,1495,precomputed_fallback,-6797.153894580405,-675.468995270035,3000.0,,,,,,ceiling,,,-5758.587891,-953.333801,1716.528198,0.203408,-0.181157,-0.762266,0.587161
18,1495,precomputed_fallback,-6796.8558325747945,-676.0029653296936,3000.0,,,,,,ceiling,,,-5758.605957,-953.321716,1716.530029,0.203345,-0.18089,-0.762246,0.58729
19,1495,precomputed_fallback,-6797.275413563625,-676.5038296350422,3000.0,,,,,,ceiling,,,-5758.611328,-953.325623,1716.524414,0.203429,-0.18074,-0.762201,0.587366
20,1495,precomputed_fallback,-6796.747283461333,-676.5026556910657,3000.0,,,,,,ceiling,,,-5758.638672,-953.320618,1716.509521,0.203408,-0.180576,-0.762134,0.587511
21,1496,precomputed_fallback,-6792.045300226917,-681.3814588294947,3000.0,,,,,,ceiling,,,-5758.772461,-953.232666,1716.733643,0.20378,-0.178759,-0.762197,0.587856
22,1496,precomputed_fallback,-6790.998419976217,-681.5858884817633,3000.0,,,,,,ceiling,,,-5758.805176,-953.243469,1716.735962,0.20373,-0.178591,-0.762171,0.587959
23,1496,precomputed_fallback,-6790.638700358893,-681.9017562320711,3000.0,,,,,,ceiling,,,-5758.847168,-953.272339,1716.736084,0.203749,-0.178424,-0.762144,0.588038
24,1496,precomputed_fallback,-6790.48478468349,-681.669968204511,3000.0,,,,,,ceiling,,,-5758.872559,-953.265015,1716.711182,0.203857,-0.178428,-0.762105,0.588049
25,1497,precomputed_fallback,-6790.283412228433,-681.955764949321,3000.0,,,,,,ceiling,,,-5758.921387,-953.248596,1716.700195,0.203836,-0.178276,-0.762104,0.588104
26,1497,precomputed_fallback,-6790.051526923483,-681.7681570728503,3000.0,,,,,,ceiling,,,-5758.964355,-953.255615,1716.692261,0.203838,-0.178267,-0.762063,0.588158
27,1497,precomputed_fallback,-6790.586908141238,-681.3639812251278,3000.0,,,,,,ceiling,,,-5758.997559,-953.265564,1716.68396,0.203983,-0.178393,-0.762024,0.588121
28,1497,precomputed_fallback,-6790.310964910382,-680.834421469782,3000.0,,,,,,ceiling,,,-5759.050293,-953.293213,1716.678589,0.204049,-0.178443,-0.761969,0.588155
29,1498,precomputed_fallback,-6791.355166826022,-680.0933686853573,3000.0,,,,,,ceiling,,,-5759.092285,-953.300537,1716.652466,0.204338,-0.178685,-0.761827,0.588165
30,1498,precomputed_fallback,-6791.843996229857,-679.1109889469526,3000.0,,,,,,ceiling,,,-5759.140137,-953.310486,1716.630493,0.204408,-0.178936,-0.761768,0.58814
31,1498,precomputed_fallback,-6792.08066133584,-678.7486653755687,3000.0,,,,,,ceiling,,,-5759.202637,-953.325928,1716.616333,0.204559,-0.179044,-0.761671,0.58818
32,1498,precomputed_fallback,-6793.014726809933,-677.5146436651676,3000.0,,,,,,ceiling,,,-5759.247559,-953.34082,1716.591919,0.20476,-0.179375,-0.761582,0.588124
33,1499,precomputed_fallback,-6793.452318552149,-676.5862323116938,3000.0,,,,,,ceiling,,,-5759.310547,-953.362915,1716.582031,0.204991,-0.17959,-0.761495,0.588092
34,1499,precomputed_fallback,-6794.125124728401,-676.6367022719658,3000.0,,,,,,ceiling,,,-5759.401855,-953.362854,1716.570679,0.20525,-0.179694,-0.761386,0.58811
35,1499,precomputed_fallback,-6794.382655789253,-676.8431824188845,3000.0,,,,,,ceiling,,,-5759.498535,-953.385986,1716.571411,0.205321,-0.179778,-0.761278,0.5882
36,1499,precomputed_fallback,-6793.568625866012,-677.6249982297954,3000.0,,,,,,ceiling,,,-5759.60791,-953.362732,1716.595947,0.205391,-0.17959,-0.76119,0.588347
37,1500,precomputed_fallback,-6793.075468961163,-678.0065766290395,3000.0,,,,,,ceiling,,,-5759.719238,-953.360535,1716.625977,0.205411,-0.179553,-0.761036,0.588551
38,1500,precomputed_fallback,-6792.257667867328,-678.8488782918512,3000.0,,,,,,ceiling,,,-5759.842285,-953.326233,1716.665161,0.205306,-0.179408,-0.760835,0.588891
39,1500,precomputed_fallback,-6792.822519023402,-679.9138410964604,3000.0,,,,,,ceiling,,,-5759.955078,-953.300415,1716.712646,0.205452,-0.179384,-0.760506,0.589272
40,1500,precomputed_fallback,-6796.541501272714,-677.1342467818148,3000.0,,,,,,ceiling,,,-5759.991211,-953.245911,1716.53772,0.205397,-0.180634,-0.759942,0.589637
41,1501,precomputed_fallback,-6796.925881442034,-677.600921498756,3000.0,,,,,,ceiling,,,-5760.062012,-953.180054,1716.609375,0.205633,-0.180572,-0.759598,0.590017
42,1501,precomputed_fallback,-6798.062297740632,-679.4816868657122,3000.0,,,,,,ceiling,,,-5760.132813,-953.105408,1716.660522,0.205818,-0.180578,-0.759102,0.590588
43,1501,precomputed_fallback,-6798.151805400399,-681.514298426498,3000.0,,,,,,ceiling,,,-5760.241699,-953.01001,1716.736572,0.205854,-0.1804,-0.758557,0.59133
44,1501,precomputed_fallback,-6800.860618876823,-682.9506905640026,3000.0,,,,,,ceiling,,,-5760.305176,-952.882935,1716.769653,0.206356,-0.180606,-0.757829,0.592025
45,1502,precomputed_fallback,-6803.679770256067,-683.7601580237636,3000.0,,,,,,ceiling,,,-5760.362305,-952.765625,1716.836304,0.206856,-0.180879,-0.757017,0.592806
46,1502,precomputed_fallback,-6806.558107637778,-684.8844332709674,3000.0,,,,,,ceiling,,,-5760.436035,-952.557373,1716.900269,0.207218,-0.181036,-0.75618,0.593699
47,1502,precomputed_fallback,-6807.908283401536,-685.3812689832398,3000.0,,,,,,ceiling,,,-5760.510254,-952.18573,1717.009277,0.207393,-0.181023,-0.755535,0.594462
48,1502,precomputed_fallback,-6800.112522979363,-687.0575445999887,3000.0,,,,,,ceiling,,,-5760.751465,-952.191833,1717.312012,0.205876,-0.179897,-0.755059,0.595935
49,1503,precomputed_fallback,-6797.721879873538,-686.7786375358007,3000.0,,,,,,ceiling,,,-5760.920898,-952.218201,1717.421509,0.205633,-0.179353,-0.754237,0.597222
50,1503,precomputed_fallback,-6799.533949813912,-688.3802432194709,3000.0,,,,,,ceiling,,,-5761.026367,-951.82135,1717.474243,0.206127,-0.179102,-0.753452,0.598118
51,1503,precomputed_fallback,-6807.419185519793,-687.8254165935462,3000.0,,,,,,ceiling,,,-5761.000977,-951.383728,1717.35791,0.207704,-0.179427,-0.752615,0.598527
52,1503,precomputed_fallback,-6809.084847369871,-686.5816527694774,3000.0,,,,,,ceiling,,,-5761.063477,-951.134033,1717.442627,0.207932,-0.179474,-0.751967,0.599248
53,1504,precomputed_fallback,-6806.829800488405,-686.4564137046352,3000.0,,,,,,ceiling,,,-5761.232422,-951.081116,1717.564941,0.207798,-0.178842,-0.751396,0.6002
54,1504,precomputed_fallback,-6806.291207034301,-681.5556342356963,3000.0,,,,,,ceiling,,,-5761.353027,-950.919983,1717.657349,0.207755,-0.178676,-0.750878,0.600912
55,1504,precomputed_fallback,-6808.235640306614,-680.3032191495347,3000.0,,,,,,ceiling,,,-5761.427734,-950.644653,1717.709595,0.208107,-0.178651,-0.750401,0.601394
56,1504,precomputed_fallback,-6809.431850488387,-678.2796867784311,3000.0,,,,,,ceiling,,,-5761.529785,-950.494629,1717.767212,0.208295,-0.178561,-0.749909,0.601968
57,1505,precomputed_fallback,-6860.336201575018,-667.5389214314607,3000.0,,,,,,ceiling,,,-5760.631348,-950.594543,1717.04834,0.215365,-0.186959,-0.745179,0.602804
58,1505,precomputed_fallback,-6861.863661531464,-663.3586156960114,3000.0,,,,,,ceiling,,,-5760.708984,-950.483948,1717.089966,0.215627,-0.187205,-0.744768,0.603141
59,1505,precomputed_fallback,-6864.784021127833,-659.4112881479448,3000.0,,,,,,ceiling,,,-5760.777344,-950.381531,1717.120117,0.215956,-0.187559,-0.744367,0.603409
60,1505,precomputed_fallback,817.8975207872409,-3000.0,1791.9841643610323,,,,,,obstacle,wall,,-5730.320313,-954.820801,1703.641479,0.51282,0.381805,0.516679,0.569459
61,1506,precomputed_fallback,755.7432686616366,-3000.0,1789.2985544171622,,,,,,obstacle,wall,,-5730.359863,-954.805481,1703.732666,0.5125,0.381687,0.516913,0.569613
62,1506,precomputed_fallback,721.0991272774118,-3000.0,1799.1785483861718,,,,,,obstacle,wall,,-5730.404785,-954.61615,1703.666016,0.51142,0.381589,0.517371,0.570235
63,1506,precomputed_fallback,676.2457161918546,-3000.0,1790.674277999076,,,,,,obstacle,wall,,-5730.559082,-954.454041,1703.691772,0.511692,0.381599,0.517228,0.570113
64,1506,precomputed_fallback,639.208719506677,-3000.0,1787.6045547048063,,,,,,obstacle,wall,,-5730.657715,-954.382996,1703.724854,0.511565,0.381642,0.517297,0.570136
65,1507,precomputed_fallback,592.3633840529037,-3000.0,1786.6430933524,,,,,,obstacle,wall,,-5730.708008,-954.432312,1703.834473,0.511562,0.381315,0.517345,0.570313
66,1507,precomputed_fallback,577.2076729008613,-3000.0000000000005,1762.5725734915502,,,,,,obstacle,wall,,-5730.773438,-954.393616,1703.861328,0.511394,0.381208,0.517346,0.570534
67,1507,precomputed_fallback,540.9520786043613,-3000.0,1763.0885157066537,,,,,,obstacle,wall,,-5730.859375,-954.418884,1703.905762,0.511268,0.381295,0.517216,0.570707
68,1507,precomputed_fallback,506.8289568331529,-3000.0,1765.164493131445,,,,,,obstacle,wall,,-5730.871582,-954.450317,1703.958862,0.511068,0.381009,0.517182,0.571108
69,1508,precomputed_fallback,479.7901122059711,-3000.0,1764.7828649342582,,,,,,obstacle,wall,,-5730.938965,-954.445251,1703.989624,0.510802,0.381075,0.517118,0.57136
