frame,video_frame,intersection_type,intersection_x,intersection_y,intersection_z,refined_intersection_x,refined_intersection_y,refined_intersection_z,gaze_2d_pixel_x,gaze_2d_pixel_y,object_type,object_class,yolo_confidence,head_position_x,head_position_y,head_position_z,head_quat_x,head_quat_y,head_quat_z,head_quat_w
0,3730,precomputed_fallback,-2224.019535258069,-1280.8988725986133,202.01282587809283,,,,,,obstacle,Toolbox,,-8819.310547,655.05481,1676.143188,0.630792,0.40989,0.386276,0.533744
1,3730,precomputed_fallback,-2224.123898531311,-1279.0548149379158,254.7064163665557,,,,,,obstacle,Toolbox,,-8819.323242,654.985657,1676.422852,0.62853,0.408403,0.388025,0.536277
2,3730,precomputed_fallback,-2222.954938391931,-1299.709877136428,189.27545520151943,,,,,,obstacle,Toolbox,,-8819.741211,654.541077,1676.275146,0.630954,0.409379,0.384737,0.535054
3,3730,precomputed_fallback,-2223.9309080956227,-1282.4648794205268,122.94507757261248,,,,,,floor,,,-8820.128906,654.573914,1676.267944,0.632748,0.411511,0.382445,0.53294
4,3730,precomputed_fallback,-573.7486453375695,-1702.4721305712114,24.117524539511805,,,,,,floor,,,-8818.114258,656.588745,1678.29187,0.62692,0.403043,0.395892,0.536467
5,3731,precomputed_fallback,-588.3109761023261,-1710.6010233426057,19.623551765483622,,,,,,floor,,,-8818.316406,656.574524,1678.333496,0.627337,0.403085,0.395676,0.536108
6,3731,precomputed_fallback,-606.9455746387612,-1716.654652675444,0.0,,,,,,floor,,,-8818.65625,656.322815,1678.188721,0.627844,0.403797,0.394259,0.536022
7,3731,precomputed_fallback,-684.0951333841449,-1681.19517627995,0.0,,,,,,floor,,,-8818.814453,656.386902,1678.177246,0.628214,0.404308,0.394315,0.535161
8,3731,precomputed_fallback,-671.5444185947354,-1691.630243815306,0.0,,,,,,floor,,,-8818.924805,656.267273,1678.178467,0.628257,0.40408,0.39419,0.535375
9,3732,precomputed_fallback,-1990.876163776843,-1296.768202000372,260.0,,,,,,obstacle,Toolbox,,-8819.112305,656.444031,1678.173828,0.628869,0.40455,0.394719,0.53391
10,3732,precomputed_fallback,-648.6685512103595,-1693.2212452663127,-2.273736754432321e-13,,,,,,floor,,,-8819.199219,656.191223,1678.20105,0.628271,0.403891,0.394447,0.535313
11,3732,precomputed_fallback,-1975.656676468457,-1291.1480691130946,260.0,,,,,,obstacle,Toolbox,,-8819.388672,656.319458,1678.199829,0.628825,0.404188,0.394829,0.534156
12,3732,precomputed_fallback,-566.9944270291617,-1698.7018332698658,19.81273065059895,,,,,,floor,,,-8819.276367,656.249451,1678.423706,0.627547,0.402604,0.396301,0.535762
13,3733,precomputed_fallback,-584.0055464779434,-1708.197673472535,26.46050926819953,,,,,,floor,,,-8819.418945,656.219788,1678.375366,0.628051,0.402705,0.396093,0.535248
14,3733,precomputed_fallback,-579.946014127323,-1705.9315868334334,53.166152383503686,,,,,,floor,,,-8819.387695,656.159729,1678.471558,0.626941,0.402173,0.39703,0.536255
15,3733,precomputed_fallback,-563.7918751961879,-1696.914124910154,39.09441064935868,,,,,,floor,,,-8819.439453,656.088562,1678.446045,0.62674,0.401825,0.397365,0.536502
16,3733,precomputed_fallback,-550.1047296831548,-1689.2737725504053,12.041083677456072,,,,,,floor,,,-8819.537109,656.05658,1678.389282,0.627135,0.401964,0.397238,0.53603
17,3734,precomputed_fallback,-569.8710577641159,-1682.3637320690118,0.0,,,,,,floor,,,-8819.617188,656.003967,1678.354248,0.627442,0.402094,0.39699,0.535757
18,3734,precomputed_fallback,-558.5660912620351,-1689.150822248502,0.0,,,,,,floor,,,-8819.707031,655.89447,1678.384521,0.627277,0.401827,0.396872,0.536239
19,3734,precomputed_fallback,-559.4520786399389,-1691.4193317229085,2.273736754432321e-13,,,,,,floor,,,-8819.782227,655.830933,1678.356323,0.627395,0.401666,0.396705,0.536345
20,3734,precomputed_fallback,-637.3406703566852,-1662.1963169741043,0.0,,,,,,floor,,,-8819.833984,655.80896,1678.29126,0.627729,0.401847,0.396483,0.535981
21,3735,precomputed_fallback,-1965.094435847198,-1283.1754417636523,260.0,,,,,,obstacle,Toolbox,,-8819.884766,655.735718,1678.26416,0.627865,0.401736,0.396221,0.536099
22,3735,precomputed_fallback,-2016.8548033209745,-1258.0134727532834,260.0,,,,,,obstacle,Toolbox,,-8819.911133,655.681335,1678.25061,0.627777,0.401639,0.396187,0.5363
23,3735,precomputed_fallback,-2099.278466855045,-1228.4758524255865,260.0,,,,,,obstacle,Toolbox,,-8819.913086,655.665894,1678.203369,0.627913,0.401699,0.396053,0.536195
24,3735,precomputed_fallback,-645.4327902467794,-1742.487203487036,139.84781100869964,,,,,,floor,,,-8819.90918,655.637695,1678.177368,0.627895,0.401599,0.395981,0.536344
25,3736,precomputed_fallback,635.3597446593467,-2394.61958794346,105.7733601302814,,,,,,floor,,,-8819.895508,655.638733,1678.119019,0.628005,0.401731,0.39593,0.536154
26,3736,precomputed_fallback,1329.874946804308,-3000.0,234.48020572386577,,,,,,floor,,,-8819.874023,655.623779,1678.07605,0.628079,0.401666,0.395833,0.536188
27,3736,precomputed_fallback,782.5821642509636,-3000.0000000000005,475.3789376228285,,,,,,floor,,,-8819.845703,655.632751,1678.039917,0.628025,0.401687,0.395825,0.536241
28,3736,precomputed_fallback,973.9416006085794,-3000.0,424.06392430510823,,,,,,floor,,,-8819.795898,655.634033,1678.011353,0.627789,0.401603,0.396004,0.536448
29,3737,precomputed_fallback,1110.2732474759832,-3000.0,475.8778256513772,,,,,,floor,,,-8819.529297,655.462585,1678.126953,0.62448,0.398639,0.398707,0.540504
