frame,video_frame,intersection_type,intersection_x,intersection_y,intersection_z,refined_intersection_x,refined_intersection_y,refined_intersection_z,gaze_2d_pixel_x,gaze_2d_pixel_y,object_type,object_class,yolo_confidence,head_position_x,head_position_y,head_position_z,head_quat_x,head_quat_y,head_quat_z,head_quat_w
50,2271,precomputed_fallback,1032.9459712949842,1539.589056044456,0.0,,,,,,floor,,,1295.144531,906.115784,1596.087891,0.43307,0.861907,0.116254,-0.236753
51,2271,precomputed_fallback,1023.6210839156364,1535.5347657026402,0.0,,,,,,floor,,,1295.796509,904.833252,1596.539795,0.432023,0.862039,0.115146,-0.238718
52,2271,none,,,,,,,,,,,,,,,,,,
53,2272,none,,,,,,,,,,,,,,,,,,
54,2272,none,,,,,,,,,,,,,,,,,,
55,2272,none,,,,,,,,,,,,,,,,,,
56,2272,none,,,,,,,,,,,,,,,,,,
57,2273,precomputed_fallback,-308.43870134467215,-3000.0,754.0491658721722,,,,,,obstacle,wall,,1394.496094,872.196594,1552.506958,0.769877,-0.18041,-0.016215,0.611946
58,2273,precomputed_fallback,-112.67139818880264,-3000.0000000000005,766.5533379222747,,,,,,obstacle,wall,,1398.936279,874.300781,1554.271729,0.772214,-0.167492,-0.000858,0.612888
59,2273,none,,,,,,,,,,,,,,,,,,
60,2273,none,,,,,,,,,,,,,,,,,,
61,2274,none,,,,,,,,,,,,,,,,,,
62,2274,none,,,,,,,,,,,,,,,,,,
63,2274,none,,,,,,,,,,,,,,,,,,
64,2274,none,,,,,,,,,,,,,,,,,,
65,2275,none,,,,,,,,,,,,,,,,,,
66,2275,none,,,,,,,,,,,,,,,,,,
67,2275,none,,,,,,,,,,,,,,,,,,
68,2275,none,,,,,,,,,,,,,,,,,,
69,2276,none,,,,,,,,,,,,,,,,,,
70,2276,none,,,,,,,,,,,,,,,,,,
71,2276,none,,,,,,,,,,,,,,,,,,
72,2276,none,,,,,,,,,,,,,,,,,,
73,2277,none,,,,,,,,,,,,,,,,,,
74,2277,none,,,,,,,,,,,,,,,,,,
75,2277,none,,,,,,,,,,,,,,,,,,
76,2277,none,,,,,,,,,,,,,,,,,,
77,2278,none,,,,,,,,,,,,,,,,,,
78,2278,none,,,,,,,,,,,,,,,,,,
79,2278,none,,,,,,,,,,,,,,,,,,
80,2278,none,,,,,,,,,,,,,,,,,,
81,2279,none,,,,,,,,,,,,,,,,,,
82,2279,none,,,,,,,,,,,,,,,,,,
83,2279,none,,,,,,,,,,,,,,,,,,
84,2279,none,,,,,,,,,,,,,,,,,,
85,2280,none,,,,,,,,,,,,,,,,,,
86,2280,none,,,,,,,,,,,,,,,,,,
87,2280,none,,,,,,,,,,,,,,,,,,
88,2280,none,,,,,,,,,,,,,,,,,,
89,2281,none,,,,,,,,,,,,,,,,,,
90,2281,none,,,,,,,,,,,,,,,,,,
91,2281,none,,,,,,,,,,,,,,,,,,
92,2281,none,,,,,,,,,,,,,,,,,,
93,2282,none,,,,,,,,,,,,,,,,,,
94,2282,none,,,,,,,,,,,,,,,,,,
95,2282,none,,,,,,,,,,,,,,,,,,
96,2282,none,,,,,,,,,,,,,,,,,,
97,2283,none,,,,,,,,,,,,,,,,,,
98,2283,none,,,,,,,,,,,,,,,,,,
99,2283,none,,,,,,,,,,,,,,,,,,
100,2283,none,,,,,,,,,,,,,,,,,,
101,2284,none,,,,,,,,,,,,,,,,,,
102,2284,none,,,,,,,,,,,,,,,,,,
103,2284,none,,,,,,,,,,,,,,,,,,
104,2284,none,,,,,,,,,,,,,,,,,,
105,2285,none,,,,,,,,,,,,,,,,,,
106,2285,none,,,,,,,,,,,,,,,,,,
107,2285,none,,,,,,,,,,,,,,,,,,
108,2285,none,,,,,,,,,,,,,,,,,,
109,2286,none,,,,,,,,,,,,,,,,,,
110,2286,none,,,,,,,,,,,,,,,,,,
111,2286,none,,,,,,,,,,,,,,,,,,
112,2286,none,,,,,,,,,,,,,,,,,,
113,2287,none,,,,,,,,,,,,,,,,,,
114,2287,none,,,,,,,,,,,,,,,,,,
115,2287,none,,,,,,,,,,,,,,,,,,
116,2287,none,,,,,,,,,,,,,,,,,,
117,2288,none,,,,,,,,,,,,,,,,,,
118,2288,none,,,,,,,,,,,,,,,,,,
119,2288,none,,,,,,,,,,,,,,,,,,
120,2288,none,,,,,,,,,,,,,,,,,,
121,2289,none,,,,,,,,,,,,,,,,,,
122,2289,none,,,,,,,,,,,,,,,,,,
123,2289,none,,,,,,,,,,,,,,,,,,
124,2289,none,,,,,,,,,,,,,,,,,,
125,2290,none,,,,,,,,,,,,,,,,,,
126,2290,none,,,,,,,,,,,,,,,,,,
127,2290,none,,,,,,,,,,,,,,,,,,
128,2290,none,,,,,,,,,,,,,,,,,,
129,2291,none,,,,,,,,,,,,,,,,,,
130,2291,none,,,,,,,,,,,,,,,,,,
131,2291,none,,,,,,,,,,,,,,,,,,
132,2291,none,,,,,,,,,,,,,,,,,,
133,2292,none,,,,,,,,,,,,,,,,,,
134,2292,none,,,,,,,,,,,,,,,,,,
135,2292,none,,,,,,,,,,,,,,,,,,
136,2292,none,,,,,,,,,,,,,,,,,,
137,2293,none,,,,,,,,,,,,,,,,,,
138,2293,none,,,,,,,,,,,,,,,,,,
139,2293,none,,,,,,,,,,,,,,,,,,
140,2293,none,,,,,,,,,,,,,,,,,,
141,2294,none,,,,,,,,,,,,,,,,,,
142,2294,none,,,,,,,,,,,,,,,,,,
143,2294,none,,,,,,,,,,,,,,,,,,
144,2294,none,,,,,,,,,,,,,,,,,,
145,2295,none,,,,,,,,,,,,,,,,,,
146,2295,none,,,,,,,,,,,,,,,,,,
147,2295,none,,,,,,,,,,,,,,,,,,
148,2295,none,,,,,,,,,,,,,,,,,,
149,2296,none,,,,,,,,,,,,,,,,,,
150,2296,none,,,,,,,,,,,,,,,,,,
151,2296,none,,,,,,,,,,,,,,,,,,
152,2296,none,,,,,,,,,,,,,,,,,,
153,2297,none,,,,,,,,,,,,,,,,,,
154,2297,none,,,,,,,,,,,,,,,,,,
155,2297,none,,,,,,,,,,,,,,,,,,
156,2297,none,,,,,,,,,,,,,,,,,,
157,2298,none,,,,,,,,,,,,,,,,,,
158,2298,none,,,,,,,,,,,,,,,,,,
159,2298,none,,,,,,,,,,,,,,,,,,
160,2298,none,,,,,,,,,,,,,,,,,,
161,2299,none,,,,,,,,,,,,,,,,,,
162,2299,none,,,,,,,,,,,,,,,,,,
163,2299,none,,,,,,,,,,,,,,,,,,
164,2299,none,,,,,,,,,,,,,,,,,,
165,2300,none,,,,,,,,,,,,,,,,,,
166,2300,none,,,,,,,,,,,,,,,,,,
167,2300,none,,,,,,,,,,,,,,,,,,
168,2300,none,,,,,,,,,,,,,,,,,,
169,2301,none,,,,,,,,,,,,,,,,,,
170,2301,none,,,,,,,,,,,,,,,,,,
171,2301,none,,,,,,,,,,,,,,,,,,
172,2301,none,,,,,,,,,,,,,,,,,,
173,2302,none,,,,,,,,,,,,,,,,,,
174,2302,none,,,,,,,,,,,,,,,,,,
175,2302,none,,,,,,,,,,,,,,,,,,
176,2302,none,,,,,,,,,,,,,,,,,,
177,2303,none,,,,,,,,,,,,,,,,,,
178,2303,none,,,,,,,,,,,,,,,,,,
179,2303,none,,,,,,,,,,,,,,,,,,
180,2303,none,,,,,,,,,,,,,,,,,,
181,2304,none,,,,,,,,,,,,,,,,,,
182,2304,none,,,,,,,,,,,,,,,,,,
183,2304,none,,,,,,,,,,,,,,,,,,
184,2304,none,,,,,,,,,,,,,,,,,,
185,2305,none,,,,,,,,,,,,,,,,,,
186,2305,none,,,,,,,,,,,,,,,,,,
187,2305,none,,,,,,,,,,,,,,,,,,
188,2305,none,,,,,,,,,,,,,,,,,,
189,2306,none,,,,,,,,,,,,,,,,,,
190,2306,none,,,,,,,,,,,,,,,,,,
191,2306,none,,,,,,,,,,,,,,,,,,
192,2306,none,,,,,,,,,,,,,,,,,,
193,2307,none,,,,,,,,,,,,,,,,,,
194,2307,none,,,,,,,,,,,,,,,,,,
195,2307,none,,,,,,,,,,,,,,,,,,
196,2307,none,,,,,,,,,,,,,,,,,,
197,2308,none,,,,,,,,,,,,,,,,,,
198,2308,none,,,,,,,,,,,,,,,,,,
199,2308,none,,,,,,,,,,,,,,,,,,
200,2308,none,,,,,,,,,,,,,,,,,,
201,2309,none,,,,,,,,,,,,,,,,,,
202,2309,none,,,,,,,,,,,,,,,,,,
203,2309,none,,,,,,,,,,,,,,,,,,
204,2309,none,,,,,,,,,,,,,,,,,,
205,2310,none,,,,,,,,,,,,,,,,,,
206,2310,none,,,,,,,,,,,,,,,,,,
207,2310,none,,,,,,,,,,,,,,,,,,
208,2310,none,,,,,,,,,,,,,,,,,,
209,2311,none,,,,,,,,,,,,,,,,,,
210,2311,none,,,,,,,,,,,,,,,,,,
211,2311,none,,,,,,,,,,,,,,,,,,
212,2311,none,,,,,,,,,,,,,,,,,,
213,2312,none,,,,,,,,,,,,,,,,,,
214,2312,none,,,,,,,,,,,,,,,,,,
215,2312,none,,,,,,,,,,,,,,,,,,
216,2312,none,,,,,,,,,,,,,,,,,,
217,2313,none,,,,,,,,,,,,,,,,,,
218,2313,none,,,,,,,,,,,,,,,,,,
219,2313,none,,,,,,,,,,,,,,,,,,
220,2313,none,,,,,,,,,,,,,,,,,,
221,2314,none,,,,,,,,,,,,,,,,,,
222,2314,none,,,,,,,,,,,,1368.641113,882.358337,1670.534424,-0.437942,-0.426146,-0.064217,0.788976
223,2314,none,,,,,,,,,,,,,,,,,,
224,2314,none,,,,,,,,,,,,,,,,,,
225,2315,none,,,,,,,,,,,,,,,,,,
226,2315,none,,,,,,,,,,,,,,,,,,
227,2315,none,,,,,,,,,,,,,,,,,,
228,2315,none,,,,,,,,,,,,,,,,,,
229,2316,none,,,,,,,,,,,,,,,,,,
230,2316,none,,,,,,,,,,,,,,,,,,
231,2316,none,,,,,,,,,,,,,,,,,,
232,2316,none,,,,,,,,,,,,,,,,,,
233,2317,none,,,,,,,,,,,,,,,,,,
234,2317,none,,,,,,,,,,,,,,,,,,
235,2317,none,,,,,,,,,,,,,,,,,,
236,2317,none,,,,,,,,,,,,,,,,,,
237,2318,none,,,,,,,,,,,,,,,,,,
238,2318,none,,,,,,,,,,,,,,,,,,
239,2318,none,,,,,,,,,,,,,,,,,,
240,2318,none,,,,,,,,,,,,,,,,,,
241,2319,none,,,,,,,,,,,,,,,,,,
242,2319,none,,,,,,,,,,,,,,,,,,
243,2319,none,,,,,,,,,,,,772.682007,-2202.012695,1607.573242,0.91323,0.328758,0.097034,0.220257
244,2319,none,,,,,,,,,,,,776.265442,-2205.359131,1602.023193,0.906492,0.323395,0.109558,0.248366
245,2320,none,,,,,,,,,,,,779.061951,-2207.619629,1596.477661,0.907219,0.327843,0.109439,0.239783
246,2320,none,,,,,,,,,,,,781.288147,-2208.312744,1591.064697,0.912198,0.33018,0.103583,0.219425
247,2320,none,,,,,,,,,,,,784.247803,-2209.776611,1585.463501,0.913011,0.332224,0.102354,0.213454
248,2320,none,,,,,,,,,,,,788.248962,-2211.166016,1580.80835,0.913024,0.33335,0.10711,0.209266
249,2321,precomputed_fallback,835.6245128825016,-2227.922613563423,884.918457,,,,,,obstacle,Chair,,790.21283,-2213.598877,1573.294067,0.91103,0.337567,0.10262,0.213405
250,2321,precomputed_fallback,799.1611722871372,-2193.897350135932,884.918457,,,,,,obstacle,Chair,,791.465332,-2213.689941,1566.692383,0.915985,0.349576,0.087956,0.176158
251,2321,precomputed_fallback,780.6767907641563,-2170.766634118469,884.918457,,,,,,obstacle,Chair,,793.791016,-2214.062744,1560.705933,0.920068,0.351421,0.080902,0.153078
252,2321,precomputed_fallback,788.3704567734326,-2176.9666235731347,884.918457,,,,,,obstacle,Chair,,795.898071,-2216.24707,1553.688477,0.918324,0.351118,0.085488,0.161522
253,2322,yolo_refined,760.0206040212659,-2166.048117442263,884.918457,757.365494084945,-2164.681155044347,884.918457,995.0,977.0,obstacle,human,0.2958323061466217,799.509644,-2217.638672,1547.852417,0.917942,0.353672,0.084373,0.158681
254,2322,none,,,,,,,,,,,,801.156433,-2218.667969,1541.748291,0.920375,0.356906,0.078405,0.139216
255,2322,none,,,,,,,,,,,,805.43335,-2219.952148,1535.881592,0.918033,0.355896,0.088308,0.150847
256,2322,none,,,,,,,,,,,,810.374573,-2223.38501,1529.087036,0.914298,0.34991,0.099831,0.177921
257,2323,precomputed_fallback,769.1579601218762,-2152.5636331041565,884.918457,,,,,,obstacle,Chair,,812.660889,-2224.487549,1522.62561,0.915165,0.352366,0.098739,0.169002
258,2323,precomputed_fallback,784.9829558902019,-2175.795785247216,884.918457,,,,,,obstacle,Chair,,815.669067,-2226.824463,1516.270264,0.913025,0.35407,0.100118,0.176056
259,2323,precomputed_fallback,772.3483261610908,-2155.220334834911,884.918457,,,,,,obstacle,Chair,,818.286316,-2226.655762,1510.685913,0.917954,0.355191,0.094095,0.149485
260,2323,precomputed_fallback,777.815381445478,-2162.1839106288953,884.918457,,,,,,obstacle,Chair,,821.1474,-2227.909424,1504.295166,0.918083,0.355641,0.093304,0.148109
261,2324,precomputed_fallback,768.7042765546677,-2173.2814290078263,884.918457,,,,,,obstacle,Chair,,821.769104,-2229.670166,1497.213501,0.91726,0.353267,0.092744,0.158854
262,2324,precomputed_fallback,772.898128031412,-2172.4784170253433,884.918457,,,,,,obstacle,Chair,,825.144348,-2230.336182,1491.168091,0.918346,0.35666,0.09208,0.144761
263,2324,precomputed_fallback,769.6630090497536,-2163.462927161074,884.918457,,,,,,obstacle,Chair,,827.220703,-2231.793945,1485.037109,0.918328,0.360844,0.08952,0.135838
264,2324,precomputed_fallback,754.0825523670211,-2196.4714120317176,884.918457,,,,,,obstacle,Chair,,829.490417,-2236.358887,1477.255493,0.908556,0.364424,0.099429,0.178423
265,2325,precomputed_fallback,765.2074991477427,-2207.8100426575847,884.918457,,,,,,obstacle,Chair,,829.430115,-2237.249268,1470.321411,0.9126,0.359385,0.095058,0.170196
266,2325,precomputed_fallback,756.1628408648374,-2195.832991582738,884.918457,,,,,,obstacle,Chair,,832.269531,-2238.404785,1465.268311,0.913141,0.367402,0.091534,0.151036
267,2325,none,,,,,,,,,,,,833.681763,-2239.868408,1457.689331,0.913093,0.359893,0.095461,0.166208
268,2325,none,,,,,,,,,,,,836.414246,-2241.111084,1452.11731,0.912882,0.364403,0.094441,0.157916
269,2326,precomputed_fallback,766.7887813058285,-2224.528090957618,884.918457,,,,,,obstacle,Chair,,838.369995,-2242.370117,1445.768433,0.913342,0.364055,0.094413,0.156068
270,2326,precomputed_fallback,783.5970113948247,-2233.204734096227,884.918457,,,,,,obstacle,Chair,,840.26947,-2243.577881,1439.045166,0.913667,0.361876,0.094891,0.158912
271,2326,precomputed_fallback,777.4426562332033,-2228.3517177196345,884.918457,,,,,,obstacle,Chair,,841.935547,-2244.776611,1433.031616,0.914059,0.364926,0.092877,0.15066
272,2326,precomputed_fallback,765.3258304055774,-2206.7745615143544,884.918457,,,,,,obstacle,Chair,,843.481445,-2245.832031,1426.699341,0.915296,0.363615,0.091533,0.147105
273,2327,precomputed_fallback,786.5543765738781,-2227.9811177231213,884.918457,,,,,,obstacle,Chair,,844.643127,-2247.100098,1420.152466,0.915865,0.363162,0.091432,0.144727
274,2327,precomputed_fallback,799.3765589226906,-2236.0037108003894,884.918457,,,,,,obstacle,Chair,,846.81665,-2248.271973,1414.036133,0.916018,0.363626,0.091048,0.14282
275,2327,precomputed_fallback,800.9169759738886,-2236.3057030874597,884.918457,,,,,,obstacle,Chair,,848.497742,-2249.547852,1407.614746,0.916355,0.363831,0.090783,0.14028
276,2327,precomputed_fallback,823.368278624215,-2230.7379469029493,884.918457,,,,,,obstacle,Chair,,850.098999,-2250.657959,1401.208862,0.917081,0.363169,0.090158,0.137632
277,2328,precomputed_fallback,834.2901738082862,-2228.3497093337683,884.918457,,,,,,obstacle,Chair,,852.768738,-2251.890137,1395.269897,0.916156,0.365734,0.090635,0.136684
278,2328,precomputed_fallback,832.3571626159211,-2235.8366290298172,884.918457,,,,,,obstacle,Chair,,854.266418,-2252.955566,1389.051636,0.916913,0.365648,0.089624,0.13244
279,2328,precomputed_fallback,832.0151030153876,-2237.9666577716175,884.918457,,,,,,obstacle,Chair,,855.670776,-2254.03418,1382.906616,0.918181,0.363957,0.088322,0.129146
280,2328,precomputed_fallback,833.3903511438747,-2242.5000667357485,884.918457,,,,,,obstacle,Chair,,856.275391,-2255.284668,1376.315796,0.919076,0.362203,0.088501,0.127578
