frame,video_frame,intersection_type,intersection_x,intersection_y,intersection_z,refined_intersection_x,refined_intersection_y,refined_intersection_z,gaze_2d_pixel_x,gaze_2d_pixel_y,object_type,object_class,yolo_confidence,head_position_x,head_position_y,head_position_z,head_quat_x,head_quat_y,head_quat_z,head_quat_w
54,10739,none,,,,,,,,,,,,,,,,,,
55,10739,none,,,,,,,,,,,,,,,,,,
56,10739,none,,,,,,,,,,,,,,,,,,
57,10740,none,,,,,,,,,,,,,,,,,,
58,10740,none,,,,,,,,,,,,,,,,,,
59,10740,none,,,,,,,,,,,,,,,,,,
60,10740,none,,,,,,,,,,,,,,,,,,
61,10741,none,,,,,,,,,,,,,,,,,,
62,10741,none,,,,,,,,,,,,,,,,,,
63,10741,none,,,,,,,,,,,,,,,,,,
64,10741,none,,,,,,,,,,,,,,,,,,
65,10742,none,,,,,,,,,,,,,,,,,,
66,10742,none,,,,,,,,,,,,,,,,,,
67,10742,none,,,,,,,,,,,,,,,,,,
68,10742,none,,,,,,,,,,,,,,,,,,
69,10743,none,,,,,,,,,,,,,,,,,,
70,10743,none,,,,,,,,,,,,,,,,,,
71,10743,none,,,,,,,,,,,,,,,,,,
72,10743,none,,,,,,,,,,,,,,,,,,
73,10744,none,,,,,,,,,,,,,,,,,,
74,10744,none,,,,,,,,,,,,,,,,,,
75,10744,none,,,,,,,,,,,,,,,,,,
76,10744,none,,,,,,,,,,,,,,,,,,
77,10745,none,,,,,,,,,,,,,,,,,,
78,10745,none,,,,,,,,,,,,,,,,,,
79,10745,none,,,,,,,,,,,,,,,,,,
80,10745,none,,,,,,,,,,,,,,,,,,
81,10746,none,,,,,,,,,,,,,,,,,,
82,10746,none,,,,,,,,,,,,,,,,,,
83,10746,none,,,,,,,,,,,,,,,,,,
84,10746,none,,,,,,,,,,,,,,,,,,
85,10747,none,,,,,,,,,,,,,,,,,,
86,10747,none,,,,,,,,,,,,,,,,,,
87,10747,none,,,,,,,,,,,,,,,,,,
88,10747,none,,,,,,,,,,,,,,,,,,
89,10748,none,,,,,,,,,,,,,,,,,,
90,10748,none,,,,,,,,,,,,,,,,,,
91,10748,none,,,,,,,,,,,,,,,,,,
92,10748,none,,,,,,,,,,,,,,,,,,
93,10749,none,,,,,,,,,,,,,,,,,,
94,10749,none,,,,,,,,,,,,,,,,,,
95,10749,none,,,,,,,,,,,,,,,,,,
96,10749,none,,,,,,,,,,,,,,,,,,
97,10750,none,,,,,,,,,,,,,,,,,,
98,10750,none,,,,,,,,,,,,,,,,,,
99,10750,none,,,,,,,,,,,,,,,,,,
100,10750,none,,,,,,,,,,,,,,,,,,
101,10751,none,,,,,,,,,,,,,,,,,,
102,10751,none,,,,,,,,,,,,,,,,,,
103,10751,none,,,,,,,,,,,,,,,,,,
104,10751,none,,,,,,,,,,,,,,,,,,
105,10752,none,,,,,,,,,,,,,,,,,,
106,10752,none,,,,,,,,,,,,,,,,,,
107,10752,none,,,,,,,,,,,,,,,,,,
108,10752,none,,,,,,,,,,,,,,,,,,
109,10753,none,,,,,,,,,,,,,,,,,,
110,10753,none,,,,,,,,,,,,,,,,,,
111,10753,none,,,,,,,,,,,,,,,,,,
112,10753,none,,,,,,,,,,,,,,,,,,
113,10754,none,,,,,,,,,,,,,,,,,,
114,10754,none,,,,,,,,,,,,,,,,,,
115,10754,none,,,,,,,,,,,,,,,,,,
116,10754,none,,,,,,,,,,,,,,,,,,
117,10755,none,,,,,,,,,,,,,,,,,,
118,10755,none,,,,,,,,,,,,,,,,,,
119,10755,none,,,,,,,,,,,,,,,,,,
120,10755,none,,,,,,,,,,,,,,,,,,
121,10756,none,,,,,,,,,,,,,,,,,,
122,10756,none,,,,,,,,,,,,,,,,,,
123,10756,none,,,,,,,,,,,,,,,,,,
124,10756,none,,,,,,,,,,,,,,,,,,
125,10757,none,,,,,,,,,,,,,,,,,,
126,10757,none,,,,,,,,,,,,,,,,,,
127,10757,none,,,,,,,,,,,,,,,,,,
128,10757,none,,,,,,,,,,,,,,,,,,
129,10758,none,,,,,,,,,,,,,,,,,,
130,10758,none,,,,,,,,,,,,,,,,,,
131,10758,none,,,,,,,,,,,,,,,,,,
132,10758,precomputed_fallback,-9547.395374636157,3500.0,1247.686486469037,,,,,,obstacle,unknown,,-4724.16748,-1452.579224,1562.173828,-0.125138,0.771748,0.610889,-0.124736
133,10759,precomputed_fallback,-10476.058736330066,3500.0,778.9452106001014,,,,,,obstacle,unknown,,-4724.896973,-1449.831543,1562.49231,-0.135562,0.766376,0.613888,-0.132027
134,10759,precomputed_fallback,-9374.458590203794,2182.5398991708757,805.9421587035114,,,,,,obstacle,unknown,,-4725.665039,-1447.164307,1562.672607,-0.14791,0.76245,0.614382,-0.139019
135,10759,precomputed_fallback,-9817.682731445928,1530.7369095079544,783.2966245907841,,,,,,obstacle,unknown,,-4725.384766,-1444.378174,1562.455811,-0.162342,0.764154,0.608033,-0.141457
136,10759,precomputed_fallback,-9170.417724460309,1347.630680997058,858.9465753928004,,,,,,obstacle,unknown,,-4727.67627,-1442.128784,1563.270996,-0.174237,0.754261,0.614411,-0.152414
137,10760,precomputed_fallback,-11000.0,1646.7859697572137,746.6689381098015,,,,,,obstacle,unknown,,-4729.09668,-1440.185425,1563.914551,-0.188736,0.751243,0.612084,-0.159266
138,10760,precomputed_fallback,-11000.0,1411.779850284134,852.7937775827587,,,,,,obstacle,unknown,,-4730.962891,-1438.947144,1564.776123,-0.204297,0.750716,0.605326,-0.16813
139,10760,precomputed_fallback,-11000.0,1132.904828240367,1119.7279856190487,,,,,,obstacle,unknown,,-4731.869141,-1436.441284,1565.066406,-0.219726,0.743726,0.607958,-0.170236
140,10760,precomputed_fallback,-11000.0,986.3333317359586,885.7292692923842,,,,,,obstacle,unknown,,-4734.611816,-1435.585205,1565.993896,-0.234754,0.7413,0.602281,-0.180618
141,10761,precomputed_fallback,-11000.0,843.5471029334187,443.13070523647616,,,,,,floor,unknown,,-4735.561523,-1434.685181,1565.704468,-0.254215,0.745784,0.588162,-0.182335
142,10761,precomputed_fallback,-11000.0,616.3731833495247,498.91675218222144,,,,,,floor,unknown,,-4737.383789,-1433.340942,1565.827026,-0.269942,0.737584,0.589665,-0.188139
143,10761,precomputed_fallback,-11000.0,241.0517534477792,1376.205576615529,,,,,,obstacle,unknown,,-4741.618164,-1432.218262,1566.725342,-0.283639,0.713452,0.60753,-0.203574
144,10761,precomputed_fallback,-11000.0,541.2088820613303,780.5727488495379,,,,,,obstacle,unknown,,-4743.036133,-1431.871582,1566.388672,-0.302634,0.707963,0.603079,-0.208559
